abs: float|int|null
Missing function dom_domstringlist_item: null
Missing function dom_element_get_attribute: null|string
Missing function dom_element_get_attribute_node: false|null
Missing function dom_element_get_attribute_node_ns: null
Missing function dom_element_get_attribute_ns: null|string
Missing function dom_element_get_elements_by_tag_name: null
Missing function dom_element_get_elements_by_tag_name_ns: null
Missing function dom_element_has_attribute: bool|null
Missing function dom_element_has_attribute_ns: bool|null
Missing function dom_element_remove_attribute: bool|null
Missing function dom_element_remove_attribute_node: false|null
Missing function dom_element_remove_attribute_ns: null
Missing function dom_element_set_attribute: bool|null
Missing function dom_element_set_attribute_node: false|null
Missing function dom_element_set_attribute_node_ns: false|null
Missing function dom_element_set_attribute_ns: false|null
Missing function dom_element_set_id_attribute: null
Missing function dom_element_set_id_attribute_node: null
Missing function dom_element_set_id_attribute_ns: null
Missing function dom_import_simplexml: null
Missing function dom_namednodemap_count: false|null
Missing function dom_namednodemap_get_named_item: null
Missing function dom_namednodemap_get_named_item_ns: null
Missing function dom_namednodemap_item: null
Missing function dom_namednodemap_remove_named_item: null
Missing function dom_namednodemap_remove_named_item_ns: null
Missing function dom_namednodemap_set_named_item: null
Missing function dom_namednodemap_set_named_item_ns: null
Missing function dom_namelist_get_name: null
Missing function dom_namelist_get_namespace_uri: null
Missing function dom_node_append_child: false|null
Missing function dom_node_clone_node: false|null
Missing function dom_node_compare_document_position: null
Missing function dom_node_get_feature: null
Missing function dom_node_get_user_data: null
Missing function dom_node_has_attributes: bool|null
Missing function dom_node_has_child_nodes: bool|null
Missing function dom_node_insert_before: false|null
Missing function dom_node_is_default_namespace: bool|null
Missing function dom_node_is_equal_node: null
Missing function dom_node_is_same_node: bool|null
Missing function dom_node_is_supported: bool|null
Missing function dom_node_lookup_namespace_uri: null|string
Missing function dom_node_lookup_prefix: null|string
Missing function dom_node_normalize: null
Missing function dom_node_remove_child: false|null
Missing function dom_node_replace_child: false|null
Missing function dom_node_set_user_data: null
Missing function dom_nodelist_count: false|null
Missing function dom_string_extend_find_offset16: null
Missing function dom_string_extend_find_offset32: null
Missing function dom_text_is_whitespace_in_element_content: bool|null
Missing function dom_text_replace_whole_text: null
Missing function dom_text_split_text: false|null
Missing function dom_userdatahandler_handle: null
Missing function dom_xpath_evaluate: null
Missing function dom_xpath_query: null
Missing function dom_xpath_register_ns: bool|null
Missing function dom_xpath_register_php_functions: null|true
Missing function easter_date: null
Missing function easter_days: null
Missing function error_clear_last: null
Missing function exp: float|null
Missing function expm1: float|null
Missing function ezmlm_hash: int|null
Missing function floatval: float|null
Missing function floor: float|null
Missing function flush: null
Missing function fmod: float|null
Missing function frenchtojd: int|null
Missing function ftok: int|null
Missing function get_current_user: null|string
Missing function get_magic_quotes_gpc: false|null
Missing function get_magic_quotes_runtime: false|null
Missing function gettype: null|string
Missing function grapheme_extract: false|string
