abs: false|float|int
hypot: float
idate: false|int
idn_to_ascii: probably-null
idn_to_utf8: probably-null
ignore_user_abort: int
image_type_to_extension: false|string
image_type_to_mime_type: string
in_array: probably-null
inet_ntop: false|string
ini_get: false|probably-null|string
ini_get_all: array|false
ini_restore: probably-null
ini_set: false|probably-null|string
intdiv: int
interface_exists: probably-null
intl_error_name: string
intl_get_error_code: int
intl_get_error_message: string
intl_is_failure: bool
intval: int
ip2long: false|int
iptcembed: bool|probably-null|string
iptcparse: array|false|probably-null
is_a: probably-null
is_array: probably-null
is_bool: bool
is_callable: bool
is_countable: bool
is_dir: probably-null
is_executable: probably-null
is_file: probably-null
is_finite: bool
is_float: probably-null
is_infinite: bool
is_int: probably-null
is_iterable: bool
is_link: probably-null
is_nan: bool
is_null: probably-null
is_numeric: bool
is_object: probably-null
is_readable: probably-null
is_resource: probably-null
is_scalar: bool
is_soap_fault: bool
is_string: probably-null
is_subclass_of: probably-null
is_uploaded_file: bool|probably-null
is_writable: probably-null
iterator_apply: false|int|probably-null
iterator_count: int|probably-null
iterator_to_array: array|null
jddayofweek: int|string
jdmonthname: string
jdtofrench: string
jdtogregorian: string
jdtojewish: false|probably-null|string
jdtojulian: string
jdtounix: false|int
jewishtojd: int
json_decode: null|probably-null
json_encode: false|string
json_last_error: int|probably-null
json_last_error_msg: probably-null|string
juliantojd: int
key: probably-null
krsort: bool
ksort: bool
lcg_value: float|probably-null
lchgrp: probably-null
lchown: true
levenshtein: int|probably-null
libxml_clear_errors: probably-null
libxml_disable_entity_loader: bool
libxml_get_errors: array|probably-null
libxml_get_last_error: false|probably-null
libxml_set_external_entity_loader: true
libxml_set_streams_context: probably-null
libxml_use_internal_errors: bool
link: bool
linkinfo: false|int
locale_accept_from_http: false|string
locale_canonicalize: probably-null
locale_compose: false|string
locale_filter_matches: bool|null|probably-null
locale_get_all_variants: array|null
locale_get_default: string
locale_get_display_language: probably-null
locale_get_display_name: probably-null
locale_get_display_region: probably-null
locale_get_display_script: probably-null
locale_get_display_variant: probably-null
locale_get_keywords: array|false|null|probably-null
locale_get_primary_language: probably-null
locale_get_region: probably-null
locale_get_script: probably-null
locale_lookup: null|string
locale_parse: array|null
locale_set_default: true
localtime: array
log: false|float
log10: float
log1p: float
long2ip: false|probably-null|string
mail: bool|probably-null
max: mixed
memory_get_peak_usage: int
memory_get_usage: int
metaphone: false|probably-null|string
method_exists: bool
microtime: probably-null
min: mixed
